Order ID,Order Item ID,Order Quantity,Product Department,Product Category,Product Name,Customer ID,Customer Market,Customer Region,Customer Country,Warehouse Country,Shipment Mode,Shipment Days - Scheduled,Gross Sales,Discount %,Profit,Warehouse Inventory,Inventory Cost Per Unit,Order Date,Shipment Date
22,49600,1,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,4735,Europe,Western Europe,Germany,Puerto Rico,First Class,1,400,0.12,200,141,0.9849,2021-01-01,2021-01-03
23,104,4,Fan Shop,Indoor/Outdoor Games,O'Brien Men's Neoprene Life Vest,8136,LATAM,Caribbean,Dominican�Republic,USA,First Class,1,200,0.15,125,442,2.34227,2021-01-01,2021-01-03
24,109,1,Fan Shop,Camping & Hiking,Diamondback Women's Serene Classic Comfort Bi,7776,LATAM,Central America,Mexico,Puerto Rico,First Class,1,300,0.05,150,82,0.71179,2021-01-01,2021-01-03
25,110,1,Footwear,Cardio Equipment,Nike Men's Free 5.0+ Running Shoe,7776,LATAM,Central America,Mexico,Puerto Rico,First Class,1,100,0.18,245,18,2.25689,2021-01-01,2021-01-03
26,111,1,Apparel,Men's Footwear,Nike Men's CJ Elite 2 TD Football Cleat,7776,LATAM,Central America,Mexico,Puerto Rico,First Class,1,130,0.03,65,6,1.00147,2021-01-01,2021-01-03
27,116,1,Apparel,Cleats,Perfect Fitness Perfect Rip Deck,2636,LATAM,Central America,Mexico,Puerto Rico,Standard Class,4,60,0.16,147,254,0.49486,2021-01-01,2021-01-07
28,127,1,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,12271,LATAM,Central America,Mexico,USA,Standard Class,4,400,0.06,200,141,0.9849,2021-01-01,2021-01-03
29,144809,1,Outdoors,Men's Golf Clubs,Merrell Men's All Out Flash Trail Running Sho,5664,LATAM,Central America,Mexico,USA,First Class,1,110,0.18,53,1,1.96893,2021-01-01,2021-01-05
30,9926,4,Footwear,Cardio Equipment,Nike Men's Free 5.0+ Running Shoe,1761,LATAM,Caribbean,Cuba,USA,Standard Class,4,400,0.13,245,18,2.25689,2021-01-01,2021-08-12
31,147,2,Apparel,Cleats,Perfect Fitness Perfect Rip Deck,4791,LATAM,Central America,Mexico,USA,Second Class,2,120,0.02,147,254,0.49486,2021-01-01,2021-01-03
32,146,2,Apparel,Cleats,Perfect Fitness Perfect Rip Deck,4791,LATAM,Central America,Mexico,USA,Second Class,2,120,0.03,147,254,0.49486,2021-01-01,2021-01-03
33,14905,1,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,4138,LATAM,South America,Ecuador,Puerto Rico,Standard Class,4,400,0.09,200,141,0.9849,2021-01-01,2021-01-04
34,14903,1,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,4138,LATAM,South America,Ecuador,Puerto Rico,Standard Class,4,400,0.1,200,141,0.9849,2021-01-01,2021-01-04
35,154,2,Fan Shop,Indoor/Outdoor Games,O'Brien Men's Neoprene Life Vest,1148,LATAM,Central America,Honduras,USA,Standard Class,4,100,0.09,125,442,2.34227,2021-01-01,2021-01-05
36,161,1,Fan Shop,Camping & Hiking,Diamondback Women's Serene Classic Comfort Bi,5903,LATAM,Central America,Mexico,USA,First Class,1,300,0.25,150,82,0.71179,2021-01-01,2021-01-03
37,20317,1,Apparel,Men's Footwear,Nike Men's CJ Elite 2 TD Football Cleat,4723,LATAM,Caribbean,Cuba,USA,Standard Class,4,130,0.18,65,6,1.00147,2021-01-02,2021-01-08
38,172,5,Footwear,Cardio Equipment,Nike Men's Free 5.0+ Running Shoe,8646,LATAM,South America,Brazil,USA,Standard Class,4,500,  -  ,245,18,2.25689,2021-01-02,2021-01-04
39,174,1,Golf,Shop By Sport,Under Armour Girls' Toddler Spine Surge Runni,8646,LATAM,South America,Brazil,USA,Standard Class,4,40,0.16,97,381,0.85855,2021-01-02,2021-01-04
40,173,2,Apparel,Cleats,Perfect Fitness Perfect Rip Deck,8646,LATAM,South America,Brazil,USA,Standard Class,4,120,  -  ,147,254,0.49486,2021-01-02,2021-02-09
41,183,4,Footwear,Cardio Equipment,Nike Men's Free 5.0+ Running Shoe,8504,LATAM,Central America,Mexico,USA,Standard Class,4,400,0.03,245,18,2.25689,2021-01-02,2021-02-04
42,181,5,Fan Shop,Indoor/Outdoor Games,O'Brien Men's Neoprene Life Vest,8504,LATAM,Central America,Mexico,USA,Standard Class,4,250,0.03,125,442,2.34227,2021-01-02,2021-01-06
43,180,5,Fan Shop,Indoor/Outdoor Games,O'Brien Men's Neoprene Life Vest,8504,LATAM,Central America,Mexico,USA,Standard Class,4,250,0.04,125,442,2.34227,2021-01-02,2021-01-06
44,179,5,Fan Shop,Indoor/Outdoor Games,O'Brien Men's Neoprene Life Vest,8504,LATAM,Central America,Mexico,USA,Standard Class,4,250,0.05,125,442,2.34227,2021-01-02,2021-01-06
45,187,4,Golf,Women's Apparel,Nike Men's Dri-FIT Victory Golf Polo,2505,LATAM,Central America,Mexico,Puerto Rico,Standard Class,4,200,0.13,125,164,2.03051,2021-01-02,2021-01-08
46,186,1,Golf,Women's Apparel,Nike Men's Dri-FIT Victory Golf Polo,2505,LATAM,Central America,Mexico,Puerto Rico,Standard Class,4,50,0.13,125,164,2.03051,2021-01-02,2021-01-08
47,185,1,Apparel,Men's Footwear,Nike Men's CJ Elite 2 TD Football Cleat,2505,LATAM,Central America,Mexico,Puerto Rico,Standard Class,4,130,0.13,65,6,1.00147,2021-01-02,2021-01-08
48,188,1,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,2505,LATAM,Central America,Mexico,Puerto Rico,Standard Class,4,400,  -  ,200,141,0.9849,2021-01-02,2021-01-08
49,139219,1,Footwear,Cardio Equipment,Nike Men's Free 5.0+ Running Shoe,7161,LATAM,Central America,Nicaragua,Puerto Rico,Standard Class,4,100,0.03,245,18,2.25689,2021-01-02,2021-01-05
50,195,3,Golf,Shop By Sport,Under Armour Girls' Toddler Spine Surge Runni,674,LATAM,Central America,Panama,USA,Standard Class,4,120,0.06,97,381,0.85855,2021-01-02,2021-01-04
51,194,5,Golf,Shop By Sport,Under Armour Girls' Toddler Spine Surge Runni,674,LATAM,Central America,Panama,USA,Standard Class,4,200,0.15,97,381,0.85855,2021-01-02,2021-01-04
52,196,4,Fan Shop,Indoor/Outdoor Games,O'Brien Men's Neoprene Life Vest,674,LATAM,Central America,Panama,USA,Standard Class,4,200,0.12,125,442,2.34227,2021-01-02,2021-01-04
53,197,1,Apparel,Men's Footwear,Nike Men's CJ Elite 2 TD Football Cleat,674,LATAM,Central America,Panama,USA,Standard Class,4,130,0.1,65,6,1.00147,2021-01-02,2022-09-26
54,208,5,Apparel,Cleats,Perfect Fitness Perfect Rip Deck,8912,LATAM,Central America,Mexico,Puerto Rico,First Class,1,300,0.15,147,254,0.49486,2021-01-02,2021-01-04
55,207,1,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,8912,LATAM,Central America,Mexico,Puerto Rico,First Class,1,400,0.2,200,141,0.9849,2021-01-02,2021-01-04
56,210,4,Outdoors,Golf Gloves,Bag Boy Beverage Holder,2256,LATAM,Central America,Mexico,USA,Second Class,2,100,0.06,59,17,1.7766,2021-01-02,2021-01-06
57,215,5,Golf,Shop By Sport,Under Armour Girls' Toddler Spine Surge Runni,9032,LATAM,Central America,Mexico,Puerto Rico,First Class,1,200,0.12,97,381,0.85855,2021-01-02,2021-01-04
58,260,1,Fan Shop,Indoor/Outdoor Games,O'Brien Men's Neoprene Life Vest,10216,LATAM,South America,Argentina,USA,Standard Class,4,50,0.12,125,442,2.34227,2021-01-02,2021-01-06
59,261,1,Fan Shop,Camping & Hiking,Diamondback Women's Serene Classic Comfort Bi,10216,LATAM,South America,Argentina,USA,Standard Class,4,300,0.09,150,82,0.71179,2021-01-02,2021-01-06
60,262,3,Fan Shop,Indoor/Outdoor Games,O'Brien Men's Neoprene Life Vest,10216,LATAM,South America,Argentina,USA,Standard Class,4,150,0.07,125,442,2.34227,2021-01-02,2021-02-09
61,264,1,Fan Shop,Camping & Hiking,Diamondback Women's Serene Classic Comfort Bi,104,LATAM,South America,Argentina,USA,Standard Class,4,300,0.07,150,82,0.71179,2021-01-02,2022-12-16
62,265,1,Fan Shop,Camping & Hiking,Diamondback Women's Serene Classic Comfort Bi,104,LATAM,South America,Argentina,USA,Standard Class,4,300,0.06,150,82,0.71179,2021-01-02,2022-12-23
63,267,3,Fitness,Hockey,Nike Dri-FIT Crew Sock 6 Pack,8763,LATAM,Caribbean,Dominican�Republic,USA,Standard Class,4,66,  -  ,36,10,0.11833,2021-01-02,2021-01-04
64,269,2,Footwear,Cardio Equipment,Nike Men's Free 5.0+ Running Shoe,8763,LATAM,Caribbean,Dominican�Republic,USA,Standard Class,4,200,0.03,245,18,2.25689,2021-01-02,2021-01-04
65,268,2,Fan Shop,Indoor/Outdoor Games,O'Brien Men's Neoprene Life Vest,8763,LATAM,Caribbean,Dominican�Republic,USA,Standard Class,4,100,0.03,125,442,2.34227,2021-01-02,2021-01-04
66,266,1,Fan Shop,Camping & Hiking,Diamondback Women's Serene Classic Comfort Bi,8763,LATAM,Caribbean,Dominican�Republic,USA,Standard Class,4,300,0.05,150,82,0.71179,2021-01-02,2021-01-04
67,277,1,Golf,Women's Apparel,Nike Men's Dri-FIT Victory Golf Polo,1737,LATAM,South America,Colombia,Puerto Rico,Standard Class,4,50,0.1,125,164,2.03051,2021-01-02,2021-01-06
68,275,1,Apparel,Men's Footwear,Nike Men's CJ Elite 2 TD Football Cleat,1737,LATAM,South America,Colombia,Puerto Rico,Standard Class,4,130,0.2,65,6,1.00147,2021-01-02,2021-01-06
69,276,1,Apparel,Men's Footwear,Nike Men's CJ Elite 2 TD Football Cleat,1737,LATAM,South America,Colombia,Puerto Rico,Standard Class,4,130,0.18,65,6,1.00147,2021-01-02,2021-01-06
70,313,2,Golf,Women's Apparel,Nike Men's Dri-FIT Victory Golf Polo,10604,LATAM,Caribbean,Dominican�Republic,USA,Second Class,2,100,0.05,125,164,2.03051,2021-01-02,2021-01-06
71,315,5,Apparel,Cleats,Perfect Fitness Perfect Rip Deck,10604,LATAM,Caribbean,Dominican�Republic,USA,Second Class,2,300,0.12,147,254,0.49486,2021-01-02,2021-01-06
72,314,4,Apparel,Cleats,Perfect Fitness Perfect Rip Deck,10604,LATAM,Caribbean,Dominican�Republic,USA,Second Class,2,240,0.07,147,254,0.49486,2021-01-02,2021-01-06
73,317,1,Golf,Shop By Sport,Under Armour Girls' Toddler Spine Surge Runni,7738,LATAM,South America,Argentina,USA,Standard Class,4,40,0.13,97,381,0.85855,2021-01-02,2021-01-08
74,28472,1,Golf,Women's Apparel,Nike Men's Dri-FIT Victory Golf Polo,4116,Europe,Western Europe,France,USA,Standard Class,4,50,0.2,125,164,2.03051,2021-01-02,2021-01-08
75,318,2,Apparel,Cleats,Perfect Fitness Perfect Rip Deck,7738,LATAM,South America,Argentina,USA,Standard Class,4,120,0.13,147,254,0.49486,2021-01-02,2021-06-02
76,320,1,Fan Shop,Camping & Hiking,Diamondback Women's Serene Classic Comfort Bi,9126,LATAM,South America,Argentina,USA,Standard Class,4,300,  -  ,150,82,0.71179,2021-01-02,2021-01-04
77,39238,1,Golf,Women's Apparel,Nike Men's Dri-FIT Victory Golf Polo,11949,Europe,Western Europe,France,USA,Standard Class,4,50,0.2,125,164,2.03051,2021-01-03,2021-01-08
78,2125,1,Apparel,Men's Footwear,Nike Men's CJ Elite 2 TD Football Cleat,4535,LATAM,Central America,Mexico,USA,Second Class,2,130,0.02,65,6,1.00147,2021-01-03,2021-01-06
79,366,2,Apparel,Cleats,Perfect Fitness Perfect Rip Deck,9044,LATAM,South America,Brazil,Puerto Rico,Second Class,2,120,0.1,147,254,0.49486,2021-01-03,2021-01-09
80,367,1,Fan Shop,Indoor/Outdoor Games,O'Brien Men's Neoprene Life Vest,5200,LATAM,Central America,Nicaragua,USA,First Class,1,50,0.06,125,442,2.34227,2021-01-03,2021-01-05
81,369,1,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,12345,LATAM,Central America,Mexico,Puerto Rico,First Class,1,400,0.03,200,141,0.9849,2021-01-03,2021-01-05
82,1275,1,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,5921,LATAM,Caribbean,Cuba,Puerto Rico,Standard Class,4,400,0.25,200,141,0.9849,2021-01-03,2021-01-05
83,162560,1,Apparel,Men's Footwear,Nike Men's CJ Elite 2 TD Football Cleat,9502,Europe,Western Europe,Netherlands,USA,Standard Class,4,130,0.02,65,6,1.00147,2021-01-03,2021-01-04
84,4324,1,Fan Shop,Water Sports,Pelican Sunstream 100 Kayak,8069,LATAM,Central America,Nicaragua,USA,Standard Class,4,200,0.13,100,132,2.03202,2021-01-03,2021-01-06
85,426,3,Golf,Shop By Sport,Under Armour Girls' Toddler Spine Surge Runni,384,LATAM,Central America,Mexico,USA,First Class,1,120,0.03,97,381,0.85855,2021-01-03,2021-01-05
86,425,1,Fan Shop,Camping & Hiking,Diamondback Women's Serene Classic Comfort Bi,384,LATAM,Central America,Mexico,USA,First Class,1,300,0.09,150,82,0.71179,2021-01-03,2021-01-05
87,149933,2,Footwear,Cardio Equipment,Nike Men's Free 5.0+ Running Shoe,4394,LATAM,Central America,Mexico,USA,Standard Class,4,200,0.16,245,18,2.25689,2021-01-03,2022-02-25
88,432,1,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,8503,LATAM,Central America,El Salvador,USA,Standard Class,4,400,0.2,200,141,0.9849,2021-01-03,2021-01-07
89,139753,1,Footwear,Cardio Equipment,Nike Men's Free 5.0+ Running Shoe,5030,LATAM,South America,Brazil,Puerto Rico,Standard Class,4,100,  -  ,245,18,2.25689,2021-01-03,2021-01-08
90,833,1,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,7710,LATAM,Central America,Guatemala,USA,Standard Class,4,400,0.15,200,141,0.9849,2021-01-03,2021-01-07
91,472,4,Footwear,Cardio Equipment,Nike Men's Free 5.0+ Running Shoe,6174,LATAM,Central America,Mexico,USA,Same Day,3,400,0.2,245,18,2.25689,2021-01-03,2021-01-04
92,471,3,Golf,Women's Apparel,Nike Men's Dri-FIT Victory Golf Polo,6174,LATAM,Central America,Mexico,USA,Same Day,3,150,0.09,125,164,2.03051,2021-01-03,2021-01-04
93,480,1,Fan Shop,Water Sports,Pelican Sunstream 100 Kayak,12096,LATAM,Central America,Panama,Puerto Rico,Second Class,2,200,0.25,100,132,2.03202,2021-01-03,2021-01-09
94,478,4,Outdoors,Electronics,Bridgestone e6 Straight Distance NFL Carolina,12096,LATAM,Central America,Panama,Puerto Rico,Second Class,2,128,0.16,73,20,1.12155,2021-01-03,2021-01-09
95,479,5,Fan Shop,Indoor/Outdoor Games,O'Brien Men's Neoprene Life Vest,12096,LATAM,Central America,Panama,Puerto Rico,Second Class,2,250,0.2,125,442,2.34227,2021-01-03,2022-07-10
96,481,4,Apparel,Cleats,Perfect Fitness Perfect Rip Deck,2765,LATAM,Central America,Mexico,USA,Standard Class,4,240,0.01,147,254,0.49486,2021-01-03,2021-01-05
97,484,4,Footwear,Cardio Equipment,Nike Men's Free 5.0+ Running Shoe,7436,LATAM,Central America,Panama,USA,Standard Class,4,400,0.18,245,18,2.25689,2021-01-03,2023-08-20
98,16960,5,Golf,Shop By Sport,Under Armour Girls' Toddler Spine Surge Runni,790,LATAM,Central America,Honduras,USA,First Class,1,200,0.1,97,381,0.85855,2021-01-04,2021-01-07
99,15451,1,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,5841,LATAM,South America,Ecuador,Puerto Rico,Standard Class,4,400,0.18,200,141,0.9849,2021-01-04,2021-01-09
100,164689,4,Golf,Shop By Sport,Under Armour Girls' Toddler Spine Surge Runni,12255,Europe,Northern Europe,Norway,USA,Standard Class,4,160,0.18,97,381,0.85855,2021-01-04,2021-01-07
101,519,2,Golf,Women's Apparel,Nike Men's Dri-FIT Victory Golf Polo,11715,LATAM,South America,Argentina,USA,Standard Class,4,100,0.25,125,164,2.03051,2021-01-04,2021-03-01
102,518,5,Apparel,Cleats,Perfect Fitness Perfect Rip Deck,11715,LATAM,South America,Argentina,USA,Standard Class,4,300,0.02,147,254,0.49486,2021-01-04,2021-01-08
103,517,1,Fan Shop,Camping & Hiking,Diamondback Women's Serene Classic Comfort Bi,11715,LATAM,South America,Argentina,USA,Standard Class,4,300,0.02,150,82,0.71179,2021-01-04,2021-01-08
104,524,1,Fan Shop,Water Sports,Pelican Sunstream 100 Kayak,5925,LATAM,South America,Brazil,USA,Standard Class,4,200,0.18,100,132,2.03202,2021-01-04,2021-01-10
105,525,3,Golf,Shop By Sport,Under Armour Girls' Toddler Spine Surge Runni,7282,LATAM,Caribbean,Dominican�Republic,USA,Standard Class,4,120,0.01,97,381,0.85855,2021-01-04,2021-01-06
106,528,3,Outdoors,Golf Gloves,Bag Boy Beverage Holder,7282,LATAM,Caribbean,Dominican�Republic,USA,Standard Class,4,75,0.17,59,17,1.7766,2021-01-04,2021-01-06
107,526,1,Fan Shop,Camping & Hiking,Diamondback Women's Serene Classic Comfort Bi,7282,LATAM,Caribbean,Dominican�Republic,USA,Standard Class,4,300,0.01,150,82,0.71179,2021-01-04,2021-01-06
108,527,1,Fan Shop,Camping & Hiking,Diamondback Women's Serene Classic Comfort Bi,7282,LATAM,Caribbean,Dominican�Republic,USA,Standard Class,4,300,  -  ,150,82,0.71179,2021-01-04,2021-01-06
109,14849,2,Apparel,Cleats,Perfect Fitness Perfect Rip Deck,1824,LATAM,Central America,El Salvador,Puerto Rico,First Class,1,120,0.09,147,254,0.49486,2021-01-04,2021-01-06
110,576,1,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,4285,LATAM,Central America,El Salvador,USA,Standard Class,4,400,0.18,200,141,0.9849,2021-01-04,2021-01-10
111,579,3,Apparel,Cleats,Perfect Fitness Perfect Rip Deck,9785,LATAM,Central America,El Salvador,Puerto Rico,Standard Class,4,180,0.04,147,254,0.49486,2021-01-04,2021-01-06
112,577,1,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,9785,LATAM,Central America,El Salvador,Puerto Rico,Standard Class,4,400,0.17,200,141,0.9849,2021-01-04,2021-01-06
113,587,2,Outdoors,Electronics,Titleist Pro V1x High Numbers Personalized Go,4939,LATAM,Central America,Mexico,Puerto Rico,Standard Class,4,104,0.18,122,1,1.33024,2021-01-04,2021-01-08
114,585,4,Apparel,Cleats,Perfect Fitness Perfect Rip Deck,4939,LATAM,Central America,Mexico,Puerto Rico,Standard Class,4,240,0.2,147,254,0.49486,2021-01-04,2022-11-28
115,588,4,Apparel,Cleats,Perfect Fitness Perfect Rip Deck,4939,LATAM,Central America,Mexico,Puerto Rico,Standard Class,4,240,0.18,147,254,0.49486,2021-01-04,2022-12-01
116,586,1,Apparel,Men's Footwear,Nike Men's CJ Elite 2 TD Football Cleat,4939,LATAM,Central America,Mexico,Puerto Rico,Standard Class,4,130,0.01,65,6,1.00147,2021-01-04,2021-01-08
117,635,1,Golf,Women's Apparel,Nike Men's Dri-FIT Victory Golf Polo,45,LATAM,South America,Argentina,USA,Standard Class,4,50,  -  ,125,164,2.03051,2021-01-04,2021-01-08
118,636,1,Footwear,Cardio Equipment,Nike Men's Free 5.0+ Running Shoe,45,LATAM,South America,Argentina,USA,Standard Class,4,100,0.01,245,18,2.25689,2021-01-04,2021-01-08
119,637,2,Footwear,Cardio Equipment,Nike Men's Free 5.0+ Running Shoe,45,LATAM,South America,Argentina,USA,Standard Class,4,200,0.16,245,18,2.25689,2021-01-04,2022-02-28
120,1387,2,Golf,Women's Apparel,Nike Men's Dri-FIT Victory Golf Polo,7838,LATAM,Central America,Mexico,Puerto Rico,First Class,1,100,0.25,125,164,2.03051,2021-01-04,2021-01-09
121,645,1,Apparel,Men's Footwear,Nike Men's CJ Elite 2 TD Football Cleat,10346,LATAM,Caribbean,Cuba,Puerto Rico,Second Class,2,130,0.16,65,6,1.00147,2021-01-04,2021-01-10
122,643,4,Footwear,Cardio Equipment,Nike Men's Free 5.0+ Running Shoe,10346,LATAM,Caribbean,Cuba,Puerto Rico,Second Class,2,400,0.15,245,18,2.25689,2021-01-04,2021-01-10
123,642,4,Fan Shop,Indoor/Outdoor Games,O'Brien Men's Neoprene Life Vest,10346,LATAM,Caribbean,Cuba,Puerto Rico,Second Class,2,200,0.03,125,442,2.34227,2021-01-04,2021-12-10
124,644,3,Fan Shop,Indoor/Outdoor Games,O'Brien Men's Neoprene Life Vest,10346,LATAM,Caribbean,Cuba,Puerto Rico,Second Class,2,150,0.03,125,442,2.34227,2021-01-04,2021-12-15
125,649,3,Golf,Shop By Sport,Under Armour Girls' Toddler Spine Surge Runni,4199,LATAM,Central America,Mexico,USA,Standard Class,4,120,0.2,97,381,0.85855,2021-01-04,2021-01-06
126,650,1,Apparel,Cleats,Perfect Fitness Perfect Rip Deck,4199,LATAM,Central America,Mexico,USA,Standard Class,4,60,0.17,147,254,0.49486,2021-01-04,2021-01-09
127,648,1,Apparel,Cleats,Perfect Fitness Perfect Rip Deck,4199,LATAM,Central America,Mexico,USA,Standard Class,4,60,0.18,147,254,0.49486,2021-01-04,2021-01-21
128,646,1,Fan Shop,Indoor/Outdoor Games,O'Brien Men's Neoprene Life Vest,4199,LATAM,Central America,Mexico,USA,Standard Class,4,50,  -  ,125,442,2.34227,2021-01-04,2021-01-06
129,647,1,Fan Shop,Camping & Hiking,Diamondback Women's Serene Classic Comfort Bi,4199,LATAM,Central America,Mexico,USA,Standard Class,4,300,0.1,150,82,0.71179,2021-01-04,2021-01-06
130,16915,2,Golf,Women's Apparel,Nike Men's Dri-FIT Victory Golf Polo,12206,LATAM,Central America,Mexico,USA,Second Class,2,100,0.13,125,164,2.03051,2021-01-04,2021-01-08
131,54761,1,Golf,Women's Apparel,Nike Men's Dri-FIT Victory Golf Polo,6339,Pacific Asia,Eastern Asia,China,USA,Standard Class,4,50,0.03,125,164,2.03051,2021-01-04,2021-01-06
132,63209,3,Golf,Women's Apparel,Nike Men's Dri-FIT Victory Golf Polo,3993,Pacific Asia,South Asia,Afghanistan,USA,Standard Class,4,150,0.1,125,164,2.03051,2021-01-04,2021-01-06
133,683,1,Fan Shop,Water Sports,Pelican Sunstream 100 Kayak,10665,LATAM,Central America,Mexico,Puerto Rico,Standard Class,4,200,0.03,100,132,2.03202,2021-01-04,2021-01-08
134,684,1,Fan Shop,Camping & Hiking,Diamondback Women's Serene Classic Comfort Bi,10665,LATAM,Central America,Mexico,Puerto Rico,Standard Class,4,300,0.09,150,82,0.71179,2021-01-04,2021-01-08
135,691,3,Footwear,Cardio Equipment,Nike Women's Tempo Shorts,10942,LATAM,Central America,Honduras,USA,Same Day,3,90,0.13,55,43,2.30847,2021-01-04,2021-01-05
136,690,5,Apparel,Cleats,Perfect Fitness Perfect Rip Deck,10942,LATAM,Central America,Honduras,USA,Same Day,3,300,0.25,147,254,0.49486,2021-01-04,2021-01-05
137,689,4,Apparel,Cleats,Perfect Fitness Perfect Rip Deck,10942,LATAM,Central America,Honduras,USA,Same Day,3,240,0.12,147,254,0.49486,2021-01-04,2021-01-05
